id,leaf.n,leaf.c
r1_hn_yi,6.686,44.635
r1_ln_ni,5.044,43.832
r1_ln_yi,5.865,45.18
r5_hn_ni,6.538,45.44
r1_hn_ni,6.502,44.045
r2_hn_ni,7.357,45.298
r2_hn_yi,7.132,45.077
r2_ln_ni,4.538,44.275
r2_ln_yi,5.354,45.137
r3_hn_ni,5.874,44.991
r3_hn_yi,6.943,44.426
r3_ln_ni,5.45,44.952
r4_hn_ni,7.291,44.816
r3_ln_yi,6.065,44.864
r4_ln_ni,4.552,44.104
r4_hn_yi,7.25,45.13
r5_hn_yi,6.64,45.54
r4_ln_yi,5.463,44.822
r5_ln_yi,5.007,44.055
r5_ln_ni,4.18,44.149
r6_hn_yi,5.931,45.192
r6_hn_ni,7.181,44.964
r6_ln_yi,6.415,45.125
r6_ln_ni,3.931,44.698
r7_ln_ni,5.129,45.023
r7_hn_ni,7.329,45.661
r7_ln_yi,6.125,44.084
r7_hn_yi,7.178,44.674
r8_hn_ni,7.172,45.174
r8_hn_yi,6.073,46.258
r8_ln_ni,4.163,44.034
r8_ln_yi,5.698,44.996
r10_hn_ni,6.459,45.558
r9_hn_yi,7.456,45.658
r9_hn_ni,6.621,45.112
r9_ln_yi,5.01,45.379
r9_ln_ni,3.316,43.915
r10_hn_yi,6.088,45.444
r10_ln_ni,4.121,44.281
r10_ln_yi,5.328,44.415
r11_hn_ni,6.585,45.303
r11_hn_yi,6.814,44.784
r11_ln_ni,NA,NA
r11_ln_yi,5.992,44.666
r12_hn_ni,7.128,44.79
r12_hn_yi,6.968,44.738
r12_ln_ni,3.624,44.092
r12_ln_yi,5.042,45.224
r13_hn_ni,NA,NA
r13_hn_ni,5.177,46.837
r13_ln_ni,4.064,43.357
r13_ln_yi,4.773,44.096
r14_hn_ni,6.06,43.858
r14_hn_yi,6.249,44.814
r14_ln_ni,3.381,43.169
r14_ln_yi,5.682,44.08
r15_hn_ni,6.272,43.911
r15_hn_yi,5.858,44.805
r15_ln_ni,4.671,44.113
r15_ln_yi,5.695,46.335
r16_hn_ni,6.935,43.623
r16_hn_yi,7.742,44.652
r16_ln_ni,3.948,43.815
r16_ln_yi,6.143,44.297